"CODIGO_INSTITUICAO";"INSTITUICAO";"TIPO"
263;"SOROCRED (conglomerado)";"Conglomerado"
264;"UBS (conglomerado)";"Conglomerado"
265;"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS";"Banco/financeira"
266;"VOLKSWAGEN (conglomerado)";"Conglomerado"
267;"VOLVO (conglomerado)";"Conglomerado"
268;"VOTORANTIM (conglomerado)";"Conglomerado"
269;"WESTERN UNION (conglomerado)";"Conglomerado"
270;"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
271;"YAMAHA MOTOR (conglomerado)";"Conglomerado"
272;"BANCO CAPITAL S.A.";"Banco/financeira"
273;"BANCO FORD S.A.";"Banco/financeira"
274;"BANCO SICOOB (conglomerado)";"Conglomerado"
275;"BANCO SUMITOMO MITSUI BRASILEIRO S.A.";"Banco/financeira"
276;"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
277;"BMW (conglomerado)";"Conglomerado"
278;"BOFA MERRILL LYNCH (conglomerado)";"Conglomerado"
279;"BTG PACTUAL/BANCO PAN (conglomerado)";"Conglomerado"
280;"FC FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
281;"GAZIN (conglomerado)";"Conglomerado"
282;"M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
283;"MASTER (conglomerado)";"Conglomerado"
284;"MERCADO CRÉDITO (conglomerado)";"Conglomerado"
285;"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS";"Banco/financeira"
286;"SIMPALA (conglomerado)";"Conglomerado"
287;"SINOSSERRA (conglomerado)";"Conglomerado"
288;"SOCIETE GENERALE (conglomerado)";"Conglomerado"
289;"VOITER (conglomerado)";"Conglomerado"
290;"VR (conglomerado)";"Conglomerado"
291;"XP (conglomerado)";"Conglomerado"
292;"BANCO CEDULA S.A.";"Banco/financeira"
293;"BANCO DE LA NACION ARGENTINA";"Banco/financeira"
294;"BANCO HSBC S.A.";"Banco/financeira"
295;"BBVA BRASIL BANCO DE INVESTIMENTO S.A.";"Banco/financeira"
296;"BIORC FINANCEIRA - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.";"Banco/financeira"
297;"BRK S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
298;"FATOR (conglomerado)";"Conglomerado"
299;"ICBC DO BRASIL BANCO MÚLTIPLO S.A.";"Banco/financeira"
300;"TENTOS S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
301;"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
302;"ACESSO SOLUÇÕES DE PAGAMENTO S.A.";"Banco/financeira"
303;"ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.";"Banco/financeira"
304;"BANCO GUANABARA S.A.";"Banco/financeira"
305;"BANCO KOMATSU DO BRASIL S.A.";"Banco/financeira"
306;"BANCO RABOBANK INTERNATIONAL BRASIL S.A.";"Banco/financeira"
307;"BANCO RIBEIRAO PRETO S.A.";"Banco/financeira"
308;"BANCO TOYOTA DO BRASIL S.A. (conglomerado)";"Conglomerado"
309;"BBC (conglomerado)";"Conglomerado"
310;"BNQI - FINANCEIRO (conglomerado)";"Conglomerado"
311;"BPP INSTITUIÇÃO DE PAGAMENTO S.A.";"Banco/financeira"
312;"CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"Banco/financeira"
313;"CELCOIN INSTITUICAO DE PAGAMENTO S.A.";"Banco/financeira"
314;"CIELO S.A.";"Banco/financeira"
315;"COBUCCIO (conglomerado)";"Conglomerado"
316;"CRED-SYSTEM (conglomerado)";"Conglomerado"
317;"CREDI-SHOP S/A - INSTITUIÇÃO DE PAGAMENTO";"Banco/financeira"
318;"EBANX INSTITUICAO DE PAGAMENTOS LTDA.";"Banco/financeira"
319;"FACEBOOK INSTITUIÇÃO DE PAGAMENTO DO BRASIL LTDA.";"Banco/financeira"
320;"FITBANK PAGAMENTOS ELETRONICOS S.A.";"Banco/financeira"
321;"FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A";"Banco/financeira"
322;"GERENCIANET (conglomerado)";"Conglomerado"
323;"GRAZZIOTIN FINANCIADORA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS";"Banco/financeira"
324;"HUB PAGAMENTOS S.A";"Banco/financeira"
325;"IUGU INSTITUIÇÃO DE PAGAMENTO S.A.";"Banco/financeira"
326;"NEON PAGAMENTOS S.A.";"Banco/financeira"
327;"PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA";"Banco/financeira"
328;"REPOM S.A.";"Banco/financeira"
329;"SCANIA (conglomerado)";"Conglomerado"
330;"SF3 CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.";"Banco/financeira"
331;"STONE (conglomerado)";"Conglomerado"
332;"VERDE - ADMINISTRADORA DE CARTOES DE CREDITO S.A.";"Banco/financeira"
